,concept:name,time:timestamp,@@index,case:concept:name
67,Terraformer V,2020-12-21 19:31:34+00:00,2267,3375393275288698282
68,Terraformer IV,2020-12-05 01:41:07+00:00,2437,1725453345951061314
69,Off The Hook,2020-12-05 02:00:29+00:00,2422,1725453345951061314
70,We are immortal!,2020-12-05 02:01:42+00:00,2425,1725453345951061314
71,Terraformer IV,2020-12-06 05:14:26+00:00,3414,2955749281106461520
72,Terraformer V,2020-12-15 02:51:25+00:00,3415,2955749281106461520
73,Terraformer IV,2020-12-05 23:12:03+00:00,1900,9023617760251300746
74,Magnetic Personality,2020-12-07 13:07:21+00:00,1895,9023617760251300746
75,Terraformer V,2020-12-07 13:07:22+00:00,1901,9023617760251300746
76,Terraformer IV,2020-12-05 14:32:07+00:00,2614,-8199905815234236894
77,Doom Importer,2020-12-05 16:39:47+00:00,2606,-8199905815234236894
78,Terraformer V,2020-12-05 22:57:16+00:00,2615,-8199905815234236894
79,Terraformer IV,2020-12-06 17:25:32+00:00,2173,-7735366083236238904
80,Doom Importer,2020-12-08 17:23:51+00:00,2166,-7735366083236238904
81,Off The Hook,2020-12-08 20:16:30+00:00,2155,-7735366083236238904
82,We are immortal!,2020-12-08 20:17:54+00:00,2158,-7735366083236238904
83,Terraformer IV,2020-12-06 14:34:33+00:00,1934,-4871079411598896276
84,Terraformer IV,2020-12-06 01:08:31+00:00,1729,-8927931978618494812
85,We are immortal!,2020-12-06 01:41:51+00:00,1712,-8927931978618494812
86,Doom Importer,2020-12-07 19:29:24+00:00,1721,-8927931978618494812
87,Magnetic Personality,2020-12-07 20:08:21+00:00,1723,-8927931978618494812
88,Terraformer V,2020-12-08 02:01:15+00:00,1730,-8927931978618494812
89,Terraformer IV,2020-12-15 00:22:49+00:00,1082,3409377732300992125
90,We are immortal!,2020-12-15 00:22:49+00:00,1066,3409377732300992125
91,Terraformer IV,2020-12-06 13:16:33+00:00,871,-2592991638752724188
92,Off The Hook,2020-12-07 04:45:49+00:00,856,-2592991638752724188
93,We are immortal!,2020-12-07 04:47:40+00:00,859,-2592991638752724188
94,Terraformer IV,2020-12-05 19:32:23+00:00,2564,4795693958366467261
95,Terraformer IV,2020-12-06 18:33:33+00:00,1991,6897744078822924688
96,Doom Importer,2020-12-07 00:09:31+00:00,1985,6897744078822924688
97,Terraformer IV,2020-12-08 05:43:52+00:00,1002,1604159192529981640
98,Off The Hook,2020-12-17 01:13:00+00:00,984,1604159192529981640
99,We are immortal!,2020-12-17 01:14:30+00:00,987,1604159192529981640
100,Doom Importer,2020-12-17 01:45:43+00:00,994,1604159192529981640
101,Magnetic Personality,2020-12-18 00:42:03+00:00,996,1604159192529981640
102,Terraformer V,2020-12-18 00:42:04+00:00,1003,1604159192529981640
103,Terraformer IV,2020-12-07 00:41:14+00:00,2636,3110730056573052331
104,Magnetic Personality,2020-12-08 01:12:58+00:00,2631,3110730056573052331
105,Off The Hook,2020-12-08 01:21:42+00:00,2619,3110730056573052331
106,We are immortal!,2020-12-08 01:23:55+00:00,2622,3110730056573052331
107,Terraformer IV,2021-01-02 00:18:16+00:00,1164,2612290219205562761
108,Magnetic Personality,2021-01-02 21:50:41+00:00,1159,2612290219205562761
109,Doom Importer,2021-01-02 21:50:41+00:00,1157,2612290219205562761
110,Terraformer V,2021-01-02 23:33:58+00:00,1165,2612290219205562761
111,Terraformer IV,2020-12-13 20:22:36+00:00,3200,4995126233549493867
112,Off The Hook,2020-12-13 20:26:15+00:00,3183,4995126233549493867
113,We are immortal!,2020-12-13 20:29:36+00:00,3186,4995126233549493867
114,Magnetic Personality,2021-03-07 18:02:18+00:00,3195,4995126233549493867
115,Terraformer V,2021-03-07 18:02:18+00:00,3201,4995126233549493867
116,Terraformer IV,2020-12-16 22:01:18+00:00,1241,-4813533993627678460
117,Off The Hook,2020-12-16 22:02:25+00:00,1224,-4813533993627678460
118,We are immortal!,2020-12-16 22:04:23+00:00,1227,-4813533993627678460
119,Terraformer IV,2020-12-05 19:51:29+00:00,2572,-3783149905097821927
120,Terraformer IV,2020-12-07 08:04:59+00:00,3222,-2913610765149324400
121,Terraformer IV,2020-12-05 12:27:03+00:00,3332,5151771459428414724
122,Off The Hook,2020-12-05 12:27:57+00:00,3308,5151771459428414724
123,We are immortal!,2020-12-05 12:28:53+00:00,3311,5151771459428414724
124,Doom Importer,2020-12-05 17:14:14+00:00,3324,5151771459428414724
125,Magnetic Personality,2020-12-17 02:24:43+00:00,3326,5151771459428414724
126,Terraformer V,2020-12-17 19:37:29+00:00,3333,5151771459428414724
127,Terraformer IV,2020-12-07 01:24:10+00:00,2310,7391976504342969724
128,Off The Hook,2020-12-07 01:27:07+00:00,2296,7391976504342969724
129,We are immortal!,2020-12-07 01:28:15+00:00,2299,7391976504342969724
130,Terraformer IV,2020-12-04 22:01:18+00:00,2660,-1156992375333841883
131,Off The Hook,2020-12-04 22:02:19+00:00,2641,-1156992375333841883
132,We are immortal!,2020-12-04 22:03:34+00:00,2644,-1156992375333841883
133,Doom Importer,2020-12-05 19:04:13+00:00,2652,-1156992375333841883
134,Magnetic Personality,2020-12-06 17:43:39+00:00,2654,-1156992375333841883
135,Terraformer V,2020-12-06 17:43:39+00:00,2661,-1156992375333841883
136,Terraformer IV,2020-12-07 09:23:32+00:00,3394,-2449072275412841849
137,We are immortal!,2020-12-07 09:24:45+00:00,3378,-2449072275412841849
138,Terraformer V,2020-12-09 02:35:12+00:00,3395,-2449072275412841849
139,Terraformer IV,2020-12-08 10:52:21+00:00,2988,-3677894623034752059
140,We are immortal!,2020-12-08 10:53:33+00:00,2975,-3677894623034752059
141,Terraformer IV,2020-12-10 19:17:20+00:00,908,-4370024699596514125
142,We are immortal!,2020-12-10 19:17:28+00:00,892,-4370024699596514125
143,Magnetic Personality,2020-12-11 20:51:50+00:00,903,-4370024699596514125
144,Terraformer V,2020-12-12 04:15:54+00:00,909,-4370024699596514125
145,Terraformer IV,2020-12-05 21:49:30+00:00,2115,-3790014145334203035
146,Off The Hook,2020-12-06 00:13:41+00:00,2099,-3790014145334203035
147,We are immortal!,2020-12-06 00:14:46+00:00,2102,-3790014145334203035
148,Terraformer IV,2020-12-15 05:11:54+00:00,2486,4843374593588749971
149,Magnetic Personality,2020-12-18 03:16:22+00:00,2480,4843374593588749971
150,Terraformer V,2020-12-18 09:18:51+00:00,2487,4843374593588749971
151,Terraformer IV,2020-12-06 03:17:04+00:00,3251,-4228995948685713163
152,Off The Hook,2020-12-07 00:42:40+00:00,3233,-4228995948685713163
153,We are immortal!,2020-12-07 00:44:15+00:00,3236,-4228995948685713163
154,Magnetic Personality,2021-04-11 19:03:04+00:00,3245,-4228995948685713163
155,Terraformer V,2021-04-11 22:25:13+00:00,3252,-4228995948685713163
156,Terraformer IV,2020-12-09 05:02:55+00:00,293,5043362417454961289
157,Doom Importer,2020-12-09 13:44:09+00:00,287,5043362417454961289
158,Terraformer IV,2020-12-05 17:53:20+00:00,2419,-2811577371001048672
159,Off The Hook,2020-12-08 16:11:57+00:00,2406,-2811577371001048672
160,We are immortal!,2020-12-08 16:13:24+00:00,2409,-2811577371001048672
161,Terraformer IV,2020-12-06 05:05:22+00:00,3150,-2903492327536673301
162,We are immortal!,2020-12-06 05:07:00+00:00,3139,-2903492327536673301
163,Terraformer IV,2020-12-17 06:30:57+00:00,1034,-4270283734116619004
164,Magnetic Personality,2020-12-18 05:55:42+00:00,1028,-4270283734116619004
165,Terraformer V,2020-12-18 05:55:42+00:00,1035,-4270283734116619004
166,Terraformer IV,2020-12-06 07:37:36+00:00,162,5781598578438226647
167,Magnetic Personality,2020-12-07 12:52:44+00:00,157,5781598578438226647
168,Terraformer V,2020-12-08 03:16:26+00:00,163,5781598578438226647
169,Terraformer IV,2020-12-04 14:23:51+00:00,2355,-1806146164383365482
170,Off The Hook,2020-12-04 14:31:52+00:00,2336,-1806146164383365482
171,We are immortal!,2020-12-04 14:33:02+00:00,2339,-1806146164383365482
172,Magnetic Personality,2020-12-05 11:24:35+00:00,2349,-1806146164383365482
173,Doom Importer,2020-12-06 07:19:44+00:00,2347,-1806146164383365482
174,Terraformer V,2020-12-06 10:32:41+00:00,2356,-1806146164383365482
175,Terraformer IV,2020-12-08 07:44:12+00:00,1964,-606299667560398812
176,Terraformer V,2020-12-09 04:15:39+00:00,1965,-606299667560398812
177,Terraformer IV,2020-12-07 00:36:11+00:00,1637,-5568043155398021583
178,Magnetic Personality,2020-12-08 03:57:10+00:00,1631,-5568043155398021583
179,Terraformer V,2020-12-08 03:57:10+00:00,1638,-5568043155398021583
180,Terraformer IV,2020-12-08 11:06:08+00:00,3011,-3749347376118075256
181,Terraformer IV,2021-02-12 13:13:46+00:00,2917,-530073052757771134
182,Terraformer IV,2020-12-12 18:05:23+00:00,1191,-6280292797786264926
183,Terraformer V,2020-12-12 19:05:20+00:00,1192,-6280292797786264926
184,Terraformer IV,2020-12-04 21:30:43+00:00,2701,2767652800254635994
185,Off The Hook,2020-12-04 22:32:38+00:00,2685,2767652800254635994
186,We are immortal!,2020-12-04 22:34:14+00:00,2688,2767652800254635994
187,Terraformer IV,2020-12-04 21:47:17+00:00,2955,-9005157591844151195
188,Terraformer IV,2020-12-06 11:56:00+00:00,2877,5480214362697931088
189,Magnetic Personality,2020-12-09 14:00:00+00:00,2872,5480214362697931088
190,Terraformer V,2020-12-09 14:00:03+00:00,2878,5480214362697931088
191,Terraformer IV,2020-12-05 22:22:17+00:00,3068,-8166958826062733900
192,Off The Hook,2020-12-05 22:37:34+00:00,3049,-8166958826062733900
193,We are immortal!,2020-12-05 22:39:19+00:00,3052,-8166958826062733900
194,Magnetic Personality,2020-12-06 02:57:57+00:00,3063,-8166958826062733900
195,Terraformer V,2020-12-06 21:08:45+00:00,3069,-8166958826062733900
196,Terraformer IV,2020-12-05 23:29:34+00:00,1283,1741197491874724135
197,Off The Hook,2020-12-06 01:26:27+00:00,1266,1741197491874724135
198,We are immortal!,2020-12-06 01:28:02+00:00,1269,1741197491874724135
199,Doom Importer,2020-12-07 16:47:36+00:00,1276,1741197491874724135
200,Magnetic Personality,2020-12-07 19:47:36+00:00,1278,1741197491874724135
201,Terraformer V,2020-12-07 19:47:36+00:00,1284,1741197491874724135
202,Terraformer IV,2020-12-05 02:24:43+00:00,1751,63053839832964872
203,Off The Hook,2020-12-05 02:26:37+00:00,1733,63053839832964872
204,We are immortal!,2020-12-05 02:27:41+00:00,1736,63053839832964872
205,Doom Importer,2020-12-07 12:54:50+00:00,1743,63053839832964872
206,Terraformer V,2020-12-07 21:21:57+00:00,1752,63053839832964872
207,Terraformer IV,2020-12-28 17:00:01+00:00,3300,-4586457583361180163
208,Off The Hook,2020-12-28 17:01:08+00:00,3283,-4586457583361180163
209,We are immortal!,2020-12-28 17:02:28+00:00,3286,-4586457583361180163
210,Magnetic Personality,2020-12-29 07:24:08+00:00,3295,-4586457583361180163
211,Terraformer V,2020-12-29 07:30:20+00:00,3301,-4586457583361180163
212,Terraformer IV,2021-02-23 19:16:34+00:00,1598,-2318770501583826583
213,Magnetic Personality,2021-02-23 21:50:12+00:00,1592,-2318770501583826583
214,Terraformer V,2021-02-23 21:50:13+00:00,1599,-2318770501583826583
215,Terraformer IV,2020-12-05 10:49:09+00:00,1877,-9026861187120281736
216,Off The Hook,2020-12-05 11:34:48+00:00,1858,-9026861187120281736
217,We are immortal!,2020-12-05 11:36:04+00:00,1861,-9026861187120281736
218,Doom Importer,2020-12-22 14:21:39+00:00,1869,-9026861187120281736
219,Magnetic Personality,2020-12-23 01:30:40+00:00,1871,-9026861187120281736
220,Terraformer V,2020-12-23 02:24:45+00:00,1878,-9026861187120281736
221,Terraformer IV,2020-12-07 01:21:26+00:00,1836,-143216027061277986
222,Magnetic Personality,2020-12-13 00:29:02+00:00,1830,-143216027061277986
223,Terraformer V,2020-12-13 00:29:05+00:00,1837,-143216027061277986
224,Terraformer IV,2020-12-11 01:03:05+00:00,947,-772539495699030344
225,Terraformer IV,2020-12-06 14:55:54+00:00,2215,-5067354648661821933
226,Off The Hook,2020-12-06 15:09:25+00:00,2200,-5067354648661821933
227,We are immortal!,2020-12-06 15:10:35+00:00,2203,-5067354648661821933
228,Terraformer IV,2020-12-06 22:23:23+00:00,3113,7972184781894714766
229,Terraformer IV,2020-12-06 04:30:50+00:00,2455,630305603353663524
230,Off The Hook,2020-12-06 04:35:50+00:00,2439,630305603353663524
231,We are immortal!,2020-12-06 04:36:57+00:00,2442,630305603353663524
232,Terraformer IV,2020-12-05 15:21:46+00:00,2555,4549116697194910188
233,Terraformer V,2020-12-05 23:51:44+00:00,2556,4549116697194910188
234,Terraformer IV,2020-12-07 21:41:33+00:00,2591,-3643064199211101352
235,Terraformer IV,2021-02-01 16:06:54+00:00,2831,-1622495107740440726
236,Magnetic Personality,2021-02-01 20:30:45+00:00,2826,-1622495107740440726
237,Terraformer V,2021-02-01 21:30:31+00:00,2832,-1622495107740440726
238,Terraformer IV,2021-01-10 12:26:53+00:00,495,1356572467807794443
239,Off The Hook,2021-01-10 14:44:03+00:00,477,1356572467807794443
240,We are immortal!,2021-01-10 14:45:30+00:00,480,1356572467807794443
241,Terraformer IV,2020-12-06 22:26:52+00:00,2137,3802153586666591311
242,Off The Hook,2020-12-06 22:30:21+00:00,2120,3802153586666591311
243,We are immortal!,2020-12-06 22:31:08+00:00,2123,3802153586666591311
244,Magnetic Personality,2020-12-08 08:35:59+00:00,2132,3802153586666591311
245,Terraformer V,2020-12-08 08:36:00+00:00,2138,3802153586666591311
246,Terraformer IV,2020-12-06 14:07:24+00:00,2290,6045271702582416700
247,Off The Hook,2020-12-06 14:08:42+00:00,2272,6045271702582416700
248,We are immortal!,2020-12-06 14:10:06+00:00,2275,6045271702582416700
249,Magnetic Personality,2021-01-09 19:49:58+00:00,2285,6045271702582416700
250,Terraformer V,2021-01-09 19:49:59+00:00,2291,6045271702582416700
251,Terraformer IV,2020-12-22 16:42:39+00:00,2740,6821725167138708674
252,Off The Hook,2020-12-22 16:45:20+00:00,2721,6821725167138708674
253,We are immortal!,2020-12-22 16:46:21+00:00,2724,6821725167138708674
254,Magnetic Personality,2020-12-23 19:16:05+00:00,2734,6821725167138708674
255,Terraformer V,2020-12-23 19:16:05+00:00,2741,6821725167138708674
256,Terraformer IV,2020-12-08 07:14:04+00:00,3177,609054191833919714
257,Off The Hook,2020-12-08 07:17:58+00:00,3157,609054191833919714
258,We are immortal!,2020-12-08 07:20:13+00:00,3160,609054191833919714
259,Magnetic Personality,2020-12-21 00:50:38+00:00,3171,609054191833919714
260,Terraformer V,2020-12-21 01:32:21+00:00,3178,609054191833919714
261,Terraformer IV,2020-12-12 13:18:28+00:00,1494,-409896039008834126
262,Off The Hook,2020-12-12 13:20:51+00:00,1477,-409896039008834126
263,We are immortal!,2020-12-12 13:22:03+00:00,1480,-409896039008834126
264,Terraformer IV,2020-12-06 19:43:28+00:00,1557,8552171831150971449
265,Terraformer IV,2021-02-13 08:12:38+00:00,1525,-1095775648691835698
266,Magnetic Personality,2021-02-13 08:58:17+00:00,1519,-1095775648691835698
267,Terraformer V,2021-02-13 09:31:01+00:00,1526,-1095775648691835698
268,Terraformer IV,2020-12-06 04:31:09+00:00,2243,6813926605698953387
269,Terraformer IV,2020-12-05 07:17:03+00:00,2755,1278041130098310530
270,Terraformer IV,2020-12-05 08:21:37+00:00,2965,-8972616697878167783
271,Doom Importer,2020-12-07 01:59:14+00:00,2960,-8972616697878167783
272,Terraformer IV,2021-02-15 23:07:26+00:00,2507,7829476166131166846
273,Doom Importer,2021-02-16 08:01:47+00:00,2501,7829476166131166846
274,Terraformer IV,2020-12-25 00:20:21+00:00,626,-7288077624836888180
275,Off The Hook,2020-12-25 13:13:12+00:00,609,-7288077624836888180
276,We are immortal!,2020-12-25 13:14:46+00:00,612,-7288077624836888180
277,Magnetic Personality,2020-12-27 12:17:36+00:00,621,-7288077624836888180
278,Terraformer V,2020-12-30 10:29:07+00:00,627,-7288077624836888180
279,Terraformer IV,2020-12-12 12:47:45+00:00,2937,3158805612394523557
280,Off The Hook,2020-12-12 13:02:32+00:00,2922,3158805612394523557
281,We are immortal!,2020-12-12 13:03:33+00:00,2925,3158805612394523557
282,Terraformer IV,2020-12-24 20:54:13+00:00,2153,5058897565905838124
283,Terraformer IV,2020-12-08 05:01:46+00:00,1654,-5496429587478502919
284,Terraformer IV,2020-12-08 15:45:23+00:00,1781,2006552011103663553
285,We are immortal!,2020-12-08 15:46:30+00:00,1766,2006552011103663553
286,Magnetic Personality,2020-12-11 03:32:51+00:00,1775,2006552011103663553
287,Terraformer V,2020-12-11 03:32:51+00:00,1782,2006552011103663553
288,Terraformer IV,2020-12-06 21:40:41+00:00,2403,-2094835076132022142
289,Off The Hook,2020-12-06 22:08:37+00:00,2384,-2094835076132022142
290,We are immortal!,2020-12-06 22:09:21+00:00,2387,-2094835076132022142
291,Magnetic Personality,2020-12-07 07:32:11+00:00,2398,-2094835076132022142
292,Terraformer V,2020-12-07 07:32:12+00:00,2404,-2094835076132022142
293,Terraformer IV,2020-12-07 17:07:19+00:00,2197,5758786737774349253
294,Magnetic Personality,2020-12-09 02:19:19+00:00,2191,5758786737774349253
295,Terraformer V,2020-12-09 02:19:19+00:00,2198,5758786737774349253
296,Terraformer IV,2020-12-07 05:11:02+00:00,1324,-8122934244214891373
297,Off The Hook,2020-12-07 06:10:56+00:00,1310,-8122934244214891373
298,We are immortal!,2020-12-07 06:11:36+00:00,1313,-8122934244214891373
299,Terraformer IV,2020-12-06 19:07:34+00:00,2090,4110085420292450357
300,Magnetic Personality,2021-01-09 18:28:26+00:00,2084,4110085420292450357
301,Terraformer V,2021-01-09 19:37:57+00:00,2091,4110085420292450357
302,Terraformer IV,2020-12-09 13:28:08+00:00,655,-1812810294104390683
303,Magnetic Personality,2020-12-09 16:45:55+00:00,649,-1812810294104390683
304,Terraformer V,2020-12-09 16:45:55+00:00,656,-1812810294104390683
305,Terraformer IV,2020-12-15 07:21:02+00:00,1059,-805886620031227862
306,Magnetic Personality,2020-12-15 11:09:58+00:00,1053,-805886620031227862
307,Terraformer V,2020-12-15 11:09:58+00:00,1060,-805886620031227862
308,Terraformer IV,2020-12-18 21:48:00+00:00,978,-9167381108305760287
309,We are immortal!,2020-12-18 21:48:34+00:00,957,-9167381108305760287
310,Magnetic Personality,2020-12-19 22:40:11+00:00,972,-9167381108305760287
311,Terraformer V,2020-12-19 23:53:21+00:00,979,-9167381108305760287
312,Terraformer IV,2020-12-22 17:43:27+00:00,1573,2721556080396390617
313,Terraformer IV,2021-01-24 03:52:52+00:00,132,369641010245689498
314,Terraformer IV,2020-12-12 09:27:10+00:00,1424,-1968438815418447628
315,Off The Hook,2020-12-12 09:27:54+00:00,1405,-1968438815418447628
316,We are immortal!,2020-12-12 09:29:35+00:00,1408,-1968438815418447628
317,Doom Importer,2020-12-12 12:31:05+00:00,1416,-1968438815418447628
318,Magnetic Personality,2020-12-12 12:37:47+00:00,1418,-1968438815418447628
319,Terraformer V,2020-12-12 12:37:48+00:00,1425,-1968438815418447628
320,Terraformer IV,2020-12-16 22:08:42+00:00,1455,4301487164805892744
321,Terraformer IV,2021-01-22 12:11:45+00:00,438,4111141181131187082
322,Off The Hook,2021-01-22 12:12:50+00:00,421,4111141181131187082
323,We are immortal!,2021-01-22 12:13:55+00:00,424,4111141181131187082
324,Doom Importer,2021-01-22 14:31:45+00:00,431,4111141181131187082
325,Magnetic Personality,2021-01-22 17:02:57+00:00,433,4111141181131187082
326,Terraformer V,2021-01-22 17:02:57+00:00,439,4111141181131187082
327,Terraformer IV,2020-12-13 19:47:23+00:00,1140,-2789526757513203616
328,We are immortal!,2020-12-13 19:47:51+00:00,1124,-2789526757513203616
329,Doom Importer,2020-12-13 19:58:51+00:00,1132,-2789526757513203616
330,Magnetic Personality,2020-12-14 20:50:19+00:00,1134,-2789526757513203616
331,Terraformer V,2020-12-14 20:50:19+00:00,1141,-2789526757513203616
332,Terraformer IV,2021-01-14 12:10:45+00:00,465,-7701034421077296826
333,Off The Hook,2021-01-14 12:13:06+00:00,448,-7701034421077296826
334,We are immortal!,2021-01-14 12:15:03+00:00,451,-7701034421077296826
335,Magnetic Personality,2021-01-15 22:50:06+00:00,460,-7701034421077296826
336,Terraformer V,2021-01-15 22:50:07+00:00,466,-7701034421077296826
337,Terraformer IV,2020-12-11 21:17:06+00:00,1262,-5179757122152361999
338,Terraformer IV,2020-12-11 13:59:35+00:00,1221,-236425562401217320
339,Off The Hook,2020-12-13 01:47:57+00:00,1203,-236425562401217320
340,We are immortal!,2020-12-13 01:49:27+00:00,1206,-236425562401217320
341,Magnetic Personality,2020-12-14 04:12:30+00:00,1215,-236425562401217320
342,Terraformer V,2020-12-14 05:59:15+00:00,1222,-236425562401217320
343,Terraformer IV,2020-12-13 22:31:30+00:00,1383,-2170852733431096278
344,Off The Hook,2020-12-13 23:04:54+00:00,1368,-2170852733431096278
345,We are immortal!,2020-12-13 23:06:13+00:00,1371,-2170852733431096278
346,Terraformer IV,2020-12-13 22:12:40+00:00,1111,3912421673375012404
347,Off The Hook,2020-12-13 22:15:20+00:00,1091,3912421673375012404
348,We are immortal!,2020-12-13 22:16:33+00:00,1094,3912421673375012404
349,Magnetic Personality,2020-12-14 05:27:18+00:00,1105,3912421673375012404
350,Terraformer V,2020-12-14 05:27:18+00:00,1112,3912421673375012404
351,Terraformer IV,2020-12-22 23:56:09+00:00,752,801610855570235025
352,Magnetic Personality,2020-12-23 07:15:45+00:00,747,801610855570235025
353,Terraformer V,2020-12-23 14:59:18+00:00,753,801610855570235025
354,Terraformer IV,2021-01-19 08:49:45+00:00,234,-1895905689740668449
355,Magnetic Personality,2021-02-15 06:58:29+00:00,229,-1895905689740668449
356,Terraformer V,2021-02-16 10:09:56+00:00,235,-1895905689740668449
357,Terraformer IV,2020-12-21 16:40:15+00:00,823,7109497590649641816
358,Off The Hook,2020-12-21 16:44:06+00:00,803,7109497590649641816
359,We are immortal!,2020-12-21 16:44:50+00:00,806,7109497590649641816
360,Magnetic Personality,2020-12-22 05:21:32+00:00,817,7109497590649641816
361,Terraformer V,2020-12-22 12:53:17+00:00,824,7109497590649641816
362,Terraformer IV,2020-12-30 12:14:26+00:00,603,-1167065892646435073
363,Off The Hook,2020-12-30 12:21:21+00:00,587,-1167065892646435073
364,We are immortal!,2020-12-30 12:22:41+00:00,590,-1167065892646435073
365,Terraformer V,2020-12-30 15:58:08+00:00,604,-1167065892646435073
366,Terraformer IV,2020-12-21 22:38:13+00:00,847,-1948821695547924807
367,Magnetic Personality,2020-12-22 07:54:08+00:00,842,-1948821695547924807
